	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplecorr	exectime	RMSE	feature_importances
0	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	decision_tree	10	1	0.110058434	0.10899712015181949	0.9608158051346415	0:00:00.118317	0.030679693	{'qtm': 0.031778563, 'qsm': 0.023518544, 'pm': 0.028012002, 'tm': 0.012648587, 'qlm': 0.9040423}
0	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	decision_tree	10	05	0.11757816	0.11283606360930129	0.9510999283750878	0:00:00.552163	0.036332004	{'qtm': 0.054613676, 'qsm': 0.035187144, 'pm': 0.026664749, 'tm': 0.007980401, 'qlm': 0.875554}
0	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	decision_tree	10	025	0.12899993	0.12123840143336839	0.9388025151748745	0:00:02.658477	0.04443507	{'qtm': 0.088626064, 'qsm': 0.059668545, 'pm': 0.020054275, 'tm': 0.007414808, 'qlm': 0.82423633}
0	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	decision_tree	10	0125	0.13839203	0.12284289981595964	0.8814396020832156	0:00:12.073572	0.06536826	{'qtm': 0.22148085, 'qsm': 0.13710657, 'pm': 0.015849425, 'tm': 0.0054554488, 'qlm': 0.6201077}
0	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	decision_tree	10	00625	0.14699048	0.11063623413068044	0.751080751369038	0:00:54.272522	0.09704493	{'qtm': 0.14348401, 'qsm': 0.104507975, 'pm': 0.13727976, 'tm': 0.06361348, 'qlm': 0.5511148}
0	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	1	0.110058434	0.10343305599669318	0.9436066692338925	0:00:00.420368	0.03644144	{'qtm': 0.0035766305, 'qsm': 0.0012038377, 'pm': 0.00902921, 'tm': 0.00043289977, 'qlm': 0.9857574}
0	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	05	0.11757816	0.10576727726536017	0.9182085245789444	0:00:01.015775	0.04662411	{'qtm': 0.011843469, 'qsm': 0.002432136, 'pm': 0.004987759, 'tm': 0.00034580057, 'qlm': 0.98039085}
0	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	025	0.12899993	0.10995465530558851	0.8882326924355783	0:00:04.540102	0.059442807	{'qtm': 0.040912267, 'qsm': 0.018460644, 'pm': 0.0045948294, 'tm': 0.0, 'qlm': 0.93603224}
0	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	0125	0.13839203	0.10653890222817222	0.8246539878602571	0:00:17.496942	0.078646876	{'qtm': 0.12962972, 'qsm': 0.07067655, 'pm': 0.0, 'tm': 0.0, 'qlm': 0.7996937}
0	R0	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	00625	0.14699048	0.08253133201319954	0.605574097596504	0:01:25.791621	0.117152885	{'qtm': 0.081432834, 'qsm': 0.0, 'pm': 0.16906425, 'tm': 0.07654085, 'qlm': 0.67296207}
